0.0151699	0.999997	-0.498467
0.0303398	0.999978	-0.49701
0.0455097	0.999924	-0.495591
0.0606796	0.999814	-0.494173
0.0758495	0.999627	-0.492727
0.0910194	0.99934	-0.491223
0.106189	0.99893	-0.489637
0.121359	0.998371	-0.487947
0.136529	0.997639	-0.486132
0.151699	0.996707	-0.484177
0.166869	0.995548	-0.482063
0.182039	0.994132	-0.479778
0.197209	0.992432	-0.477308
0.212379	0.990417	-0.474641
0.227549	0.988058	-0.471767
0.242718	0.985323	-0.468676
0.257888	0.982183	-0.465358
0.273058	0.978608	-0.461805
0.288228	0.974567	-0.458009
0.303398	0.970033	-0.453962
0.318568	0.964976	-0.449658
0.333738	0.959372	-0.44509
0.348908	0.953194	-0.440251
0.364078	0.94642	-0.435137
0.379248	0.93903	-0.429742
0.394417	0.931004	-0.424062
0.409587	0.922328	-0.418092
0.424757	0.912988	-0.411829
0.439927	0.902973	-0.405271
0.455097	0.892277	-0.398416
0.470267	0.880895	-0.391263
0.485437	0.868826	-0.383811
0.500607	0.856071	-0.376062
0.515777	0.842634	-0.368019
0.530947	0.828524	-0.359683
0.546117	0.813751	-0.351062
0.561286	0.798328	-0.34216
0.576456	0.782274	-0.332988
0.591626	0.765608	-0.323556
0.606796	0.748354	-0.313876
0.621966	0.730541	-0.303966
0.637136	0.7122	-0.293844
0.652306	0.693368	-0.283531
0.667476	0.674085	-0.273054
0.682646	0.654398	-0.262439
0.697816	0.634357	-0.251719
0.712985	0.614018	-0.240929
0.728155	0.59344	-0.230105
0.743325	0.572688	-0.219287
0.758495	0.551831	-0.208518
0.773665	0.530939	-0.197839
0.788835	0.510085	-0.187294
0.804005	0.489343	-0.176924
