10 0.964917 0.220278 0.242
20 0.970394 0.501486 0.5496
30 0.98631 0.644165 0.6832
40 0.990484 0.814426 0.8511
50 1.0033 0.803336 0.848
60 1.00699 0.934949 1.05
70 1.00882 1.13552 1.30
80 1.01613 1.20479 1.57
90 1.01088 1.31024 1.558
100 1.02063 1.415 1.98974
110 1.02364 1.64756 2.38484
120 1.01732 1.98129 2.58958
130 1.0169 2.30202 2.99415
140 1.02513 2.05377 2.93399
150 1.03143 2.30782 3.64662
160 1.03496 2.64873 4.31531
170 1.03715 2.61805 4.32345
180 1.02611 3.97682 5.4719
190 1.04279 3.52028 6.24046
200 1.02847 4.17023 5.57288
210 1.01952 5.69625 7.19216
220 1.01644 5.13541 6.17549
230 1.02826 5.44331 7.18347
240 1.00245 6.92811 7.08909
250 0.990434 9.173 10.2193
260 0.985184 10.4675 12.4196
270 0.990965 12.2627 13.6391
280 0.994079 13.8604 14.9884
290 0.998453 16.3989 16.7028
300 0.97281 21.5386 28.023
310 0.892025 35.9793 45.3405
320 0.894188 46.2028 59.5876
330 0.965325 58.3817 66.8865
