10 0.963761 0.229171 0.251405
20 0.971683 0.499222 0.544228
30 0.986991 0.638779 0.675646
40 0.989781 0.840664 0.884614
50 1.01049 0.697854 0.842253
60 1.0063 0.979659 1.09199
70 1.00138 1.32341 1.35331
80 1.01593 1.22886 1.62683
90 1.00287 1.6352 1.71398
100 1.02613 1.21229 1.96903
110 1.02006 1.8036 2.52624
120 1.01204 2.01144 2.44922
130 1.01887 2.21758 3.06196
140 1.03568 1.67453 3.06794
150 1.04708 1.476 3.42139
160 1.04258 2.07897 4.26664
170 1.05278 1.86192 4.68823
180 1.01871 4.66381 6.03036
190 1.06073 2.24394 6.75351
200 1.01226 5.03898 5.77482
210 1.04941 3.2115 6.79596
220 1.01751 5.04583 6.21812
