10 -1 4.06729 2.05357 0.114593 0.0606697 3.21946 0.0805562
20 -1 4.14213 2.10022 0.130747 0.070673 3.27457 0.104991
30 -1 4.16858 2.12424 0.17143 0.0926479 3.27548 0.144562
40 -1 4.1338 2.11815 0.237711 0.129399 3.25775 0.20076
50 -1 4.13714 2.13699 0.329868 0.181589 3.25006 0.274586
60 -1 4.10312 2.13683 0.446336 0.246728 3.23147 0.367379
70 -1 4.15437 2.18418 0.577276 0.319973 3.26666 0.468872
80 -1 4.12717 2.19242 0.734533 0.411612 3.25898 0.597722
90 -1 4.10942 2.21394 0.892083 0.502544 3.23159 0.72431
100 -1 4.08554 2.23289 1.07946 0.615493 3.22079 0.870564
110 -1 4.16999 2.31387 1.26485 0.727426 3.27448 1.02145
120 -1 4.18162 2.35469 1.44846 0.8454 3.30157 1.1648
130 -1 4.20985 2.41169 1.62187 0.958 3.31447 1.30267
140 -1 4.146 2.42274 1.82384 1.09816 3.26498 1.45701
150 -1 4.1139 2.44257 1.99626 1.22037 3.23518 1.60081
160 -1 4.1811 2.55572 2.18628 1.35594 3.29783 1.7543
170 -1 4.13345 2.58345 2.38591 1.52226 3.25666 1.91281
180 -1 4.08105 2.60409 2.6026 1.678 3.21859 2.07997
190 -1 4.17879 2.73796 2.78076 1.84565 3.28886 2.21287
200 -1 4.15188 2.76641 3.05175 2.05719 3.28263 2.41875
210 -1 4.14499 2.83788 3.23404 2.26319 3.27487 2.55743
220 -1 4.13272 2.93003 3.47559 2.51385 3.25864 2.72973
230 -1 4.14139 3.0275 3.60741 2.71366 3.2594 2.83616
240 -1 4.08234 3.13456 3.93608 3.01715 3.21807 3.10195
