10 3.91565 1.97448 0.166968 0.147058 0.162931 0.14438 223.007 0.388563
20 3.91976 1.98463 0.244012 0.204922 0.239469 0.202066 215.884 0.364669
30 3.93183 2.00304 0.323862 0.261947 0.323848 0.261615 208.615 0.357422
40 3.94571 2.02516 0.415583 0.32258 0.420662 0.325566 201.19 0.354911
50 3.93879 2.04126 0.517669 0.384679 0.525962 0.390415 193.564 0.353481
60 3.93472 2.06213 0.634309 0.45354 0.644642 0.461547 185.747 0.353054
70 3.95625 2.10013 0.761942 0.52404 0.77244 0.533439 177.707 0.352974
80 3.95426 2.12812 0.902615 0.600081 0.916335 0.613074 169.424 0.353072
90 3.93927 2.15369 1.05547 0.678839 1.07096 0.695099 160.849 0.353486
100 3.94581 2.19321 1.21967 0.764151 1.23826 0.785011 151.976 0.353637
110 3.93365 2.22479 1.39741 0.852283 1.42295 0.879607 142.711 0.354125
120 3.92684 2.26505 1.57812 0.944546 1.60755 0.973721 133.016 0.35532
130 3.93626 2.31765 1.78518 1.05151 1.81892 1.0799 122.788 0.355509
140 3.95212 2.37809 1.99674 1.16588 2.04817 1.19183 111.913 0.356112
150 3.94957 2.43317 2.2085 1.28733 2.28741 1.30551 100.177 0.356916
160 3.94363 2.48868 2.42158 1.41798 2.54189 1.42059 87.3172 0.357425
170 3.95684 2.56259 2.64057 1.56209 2.83546 1.54993 72.939 0.35798
180 3.92875 2.62296 2.80992 1.69097 3.15894 1.68085 56.5196 0.358296
190 3.93765 2.70867 2.96804 1.83045 3.52544 1.81739 37.9759 0.358753
200 3.96212 3.08647 3.09342 2.69768 4.13687 3.39884 14.9482 0.358827
