10 -1 4.21485 2.12758 0.087893 0.0477294 3.30886 0.0539554
20 -1 4.11949 2.08622 0.0816798 0.0460309 3.25647 0.069779
30 -1 4.11006 2.08838 0.0980615 0.0539188 3.23309 0.0943756
40 -1 4.17546 2.13034 0.136304 0.0729145 3.29458 0.130272
50 -1 4.07764 2.09002 0.192706 0.102667 3.20947 0.174799
60 -1 4.08602 2.10555 0.252504 0.136288 3.22613 0.224942
70 -1 4.14323 2.14838 0.326479 0.177547 3.2712 0.282648
80 -1 4.10552 2.14266 0.390391 0.216643 3.23046 0.331005
90 -1 4.14026 2.17292 0.483863 0.267223 3.26385 0.408406
100 -1 4.11791 2.17914 0.566876 0.316163 3.24936 0.474261
110 -1 4.1058 2.19018 0.659531 0.370522 3.24035 0.549319
130 -1 4.14207 2.25094 0.850765 0.488324 3.26283 0.70271
140 -1 4.10094 2.25366 0.943687 0.545752 3.23662 0.775919
150 -1 4.12611 2.29671 1.0513 0.620093 3.24706 0.860716
170 -1 4.14722 2.36307 1.28297 0.76775 3.28356 1.05543
180 -1 4.13419 2.38664 1.38353 0.848752 3.26909 1.1267
190 -1 4.09933 2.3963 1.53238 0.948671 3.22852 1.24922
200 -1 4.12724 2.46082 1.62081 1.02455 3.25353 1.32136
210 -1 4.12781 2.48984 1.72652 1.08971 3.25579 1.40176
220 -1 4.15077 2.54005 1.8608 1.18249 3.2794 1.51162
230 -1 4.12489 2.56762 1.98452 1.29671 3.26227 1.61557
240 -1 4.16568 2.64546 2.09292 1.38748 3.28349 1.68198
250 -1 4.1862 2.68784 2.18313 1.47677 3.2968 1.76125
260 -1 4.13531 2.7246 2.3394 1.60788 3.27311 1.87747
270 -1 4.1084 2.77106 2.47017 1.74334 3.24485 1.98296
280 -1 4.09303 2.81598 2.56118 1.84475 3.22527 2.04317
290 -1 4.12511 2.89494 2.75212 2.03025 3.25897 2.19197
300 -1 4.07376 2.89734 2.88678 2.15458 3.21648 2.28978
310 -1 4.15674 3.02112 3.07923 2.36637 3.26989 2.43013
320 -1 4.13589 3.06506 3.25641 2.53805 3.25672 2.56448
330 -1 4.15789 3.19166 3.48578 2.8085 3.28066 2.7491
340 -1 4.10468 3.23945 3.76622 3.04031 3.23863 2.97134
350 -1 4.08677 3.3198 4.08705 3.22028 3.21851 3.21275
160 -1 -nan -nan -nan -nan 3.3085 0.959883
160 -1 -nan -nan -nan -nan 3.3085 0.959883
160 -1 -nan -nan -nan -nan 3.3085 0.959883
140 -1 4.10094 2.25366 0.943687 0.545752 3.23662 0.775919
