5 2 0.306703 0.00247495 319.933
10 2 0.517527 0.00811822 0.802729
15 2 1.17111 0.0166094 0.904886
20 2 2.02433 0.0276612 1.67609
25 2 3.23645 0.0390497 2.57241
30 2 4.94583 0.0277861 3.24346
35 2 6.24876 0.0718241 3.38605
40 2 8.22661 0.087433 5.00409
45 2 10.3522 0.112427 4.56584
50 2 12.6502 0.105292 6.87538
55 2 15.094 0.12882 7.3794
60 2 17.6622 0.182236 7.27049
65 2 20.3685 0.216909 7.27049
70 2 23.2314 0.238763 8.4089
75 2 28.8443 6.83179 3.60697
80 2 29.8226 0.266119 12.2088
85 2 33.0078 0.286095 11.9048
90 2 36.9783 0.250371 18.1038
95 2 40.2987 0.335609 14.4293
100 2 44.5117 0.3628 16.8032
105 2 48.4424 0.751005 13.2994
110 2 52.512 0.54375 15.3537
115 2 56.9237 0.447561 18.6995
120 2 61.47 0.557671 23.2753
125 2 66.1667 0.603799 28.6483
130 2 70.9887 0.540404 35.7405
135 2 75.5543 0.916936 20.9748
140 2 80.5777 0.823558 25.342
145 2 85.6498 0.818895 27.3546
150 2 90.8426 0.808949 28.0764
155 2 96.1548 1.03166 26.7285
160 2 101.587 1.28364 24.6719
165 2 107.221 1.32726 27.3753
170 2 112.922 1.27717 30.2511
175 2 118.677 1.49617 30.2235
180 2 124.628 1.42429 32.6137
185 2 130.681 1.61368 32.2931
190 2 136.747 1.63264 34.9755
195 2 142.989 1.72076 35.8614
200 2 149.38 1.73393 37.2738
205 2 155.691 1.89956 37.644
210 2 162.327 1.98602 39.8527
215 2 168.954 2.06208 41.5588
220 2 175.643 2.09341 42.5409
225 2 182.489 2.25438 46.1106
230 2 189.529 2.3459 45.8242
235 2 196.38 2.3893 48.3847
240 2 203.43 2.44483 49.007
245 2 210.804 2.6599 51.5152
250 2 218.023 2.56897 53.7013
5 3 0.171563 0.00263976 0.0602531
10 3 0.608433 0.00823797 0.300963
15 3 1.26282 0.0170061 0.462404
20 3 2.1091 0.056517 1.07309
25 3 3.99136 0.355962 1.23657
30 3 5.03244 0.0595767 2.43605
35 3 8.62032 1.65629 1.79299
40 3 10.8152 0.100181 4.12392
45 3 14.0318 0.0887407 6.00902
50 3 17.3547 0.134382 10.9177
55 3 20.8017 0.149264 14.5957
60 3 24.33 0.134229 10.3974
65 3 27.9929 0.200647 8.84774
70 3 31.8251 0.257422 9.07392
75 3 35.7534 0.285215 8.95894
80 3 41.5535 0.225407 22.0466
85 3 45.6256 0.3417 11.2128
90 3 50.9154 1.15085 11.3279
95 3 55.9616 0.382042 13.1165
100 3 62.2769 0.32153 28.8089
105 3 66.9046 0.802523 15.6863
110 3 73.0999 0.859112 16.1345
115 3 79.312 0.978976 18.5313
120 3 85.5817 1.67402 16.9579
125 3 92.0486 1.7594 18.1283
130 3 98.6327 1.97836 18.7975
135 3 105.502 1.83098 21.132
140 3 112.491 1.82989 21.5357
145 3 119.675 2.1983 21.5496
150 3 127.139 2.40917 24.1602
155 3 134.573 2.55981 26.5593
160 3 142.284 3.01973 26.503
165 3 150.125 3.22333 29.6178
170 3 158.159 2.76628 29.4641
175 3 166.422 3.12507 31.7299
180 3 174.919 3.50749 31.9899
185 3 183.413 3.60869 34.092
190 3 191.962 3.42129 37.4673
195 3 200.942 3.94376 37.9481
200 3 209.74 4.51092 38.4355
205 3 218.802 4.79326 41.8124
