0 0.012 0.007
1 0.003 0.002
2 0.008 0.004
3 0.008 0.005
4 0.008 0.005
5 0.008 0.005
6 0.008 0.005
7 0.008 0.005
8 0.008 0.005
9 0.008 0.005
10 0.009 0.005
11 0.009 0.005
12 0.009 0.005
13 0.009 0.005
14 0.009 0.006
15 0.010 0.006
16 0.010 0.006
17 0.010 0.006
18 0.011 0.006
19 0.011 0.007
20 0.011 0.006
21 0.012 0.007
22 0.012 0.007
23 0.013 0.007
24 0.013 0.008
25 0.014 0.008
26 0.015 0.009
27 0.016 0.009
28 0.017 0.010
29 0.018 0.011
30 0.020 0.011
31 0.024 0.012
32 0.027 0.016
33 0.031 0.017
34 0.031 0.019
35 0.243 0.259
