Layer mean_angle sigma_angle
0 0.035 0.019
1 0.004 0.003
2 0.009 0.006
3 0.009 0.005
4 0.010 0.006
5 0.010 0.006
6 0.010 0.006
7 0.010 0.006
8 0.011 0.006
9 0.011 0.006
10 0.012 0.007
11 0.012 0.007
12 0.013 0.007
13 0.013 0.008
14 0.014 0.008
15 0.014 0.008
16 0.015 0.009
17 0.016 0.009
18 0.017 0.010
19 0.019 0.011
20 0.021 0.013
21 0.025 0.015
22 0.030 0.016
23 0.032 0.018
24 0.031 0.020
25 0.036 0.115
