5 1 367.133 365.265 4.28082 4.60942 
5 2 366.116 364.352 4.10678 4.63937 
5 3 365.094 363.258 4.34406 4.80669 
5 4 364.092 362.617 4.28952 4.82496 
5 5 363.095 361.436 4.22528 5.01933 
5 6 362.098 359.9 4.2998 5.6152 
5 7 361.103 359.147 4.3335 5.68976 
5 8 360.099 357.912 4.22464 5.54113 
5 9 359.102 357.234 4.35916 5.39046 
5 10 358.099 355.904 4.32495 5.11933 
5 11 357.106 355.291 4.23587 5.00086 
5 12 356.101 354.007 4.30899 4.83693 
5 13 355.105 353.279 4.13889 4.69515 
5 14 354.106 352.426 4.216 4.79157 
5 15 353.107 351.561 4.26822 4.77564 
5 16 352.107 350.384 4.12442 5.02345 
5 17 351.108 349.776 4.21426 5.02015 
5 18 350.111 347.999 4.17523 5.74164 
5 19 349.122 346.72 4.17514 5.90065 
5 20 348.116 346.037 4.36786 5.55917 
