2 3  0.999042
2 4  0.997094
2 5  0.99548
2 8  0.992908
2 16  0.988368
2 32  0.978958
2 64  0.959701
2 128  0.931315
2 181  0.902439
2 256  0.877234
2 512  0.774865
2 1024  0.631816
3 3  0.991557
3 4  0.990521
3 5  0.988136
3 8  0.984322
3 16  0.973029
3 32  0.957484
3 64  0.923187
3 128  0.887085
3 181  0.848998
3 256  0.816182
3 3  0.991557
3 4  0.990521
3 5  0.988136
3 8  0.984322
3 16  0.973029
3 32  0.957484
3 64  0.923187
3 128  0.887085
3 181  0.848998
3 256  0.816182
3 512  0.697498
3 1024  0.546281
4 3  0.990196
4 4  0.989523
4 5  0.985801
4 8  0.97855
4 16  0.964014
4 32  0.939607
4 64  0.902623
4 128  0.842969
4 181  0.797197
4 256  0.743101
4 512  0.593721
4 1024  0.418919
6 3  0.994398
6 4  0.989104
6 5  0.988368
6 8  0.983723
6 16  0.963459
6 32  0.92691
6 64  0.880807
6 128  0.802543
6 181  0.740325
6 256  0.679527
6 512  0.532915
6 1024  0.361227
5 3  0.994398
5 4  0.989104
5 5  0.988368
5 8  0.983723
5 16  0.963459
5 32  0.92691
5 64  0.880807
5 128  0.802543
5 181  0.740325
5 256  0.679527
5 512  0.532915
5 1024  0.361227
