2 3  0.954217
2 4  0.945178
2 5  0.942719
2 8  0.935956
2 16  0.904677
2 32  0.848943
2 64  0.766925
2 128  0.599858
2 181  0.501163
2 256  0.400353
2 512  0.195195
2 1024  0.0711806
3 4  0.974395
3 5  0.968616
3 8  0.964963
3 16  0.945399
3 32  0.92253
3 64  0.885531
3 128  0.814471
3 181  0.749018
3 256  0.683988
3 512  0.487637
3 1024  0.3
2 4  0.940687
2 5  0.931059
2 8  0.926657
2 16  0.892043
2 32  0.825045
2 64  0.690852
2 128  0.439745
2 181  0.315068
2 256  0.211921
2 512  0.0416667
2 1024  0.00315457
