2 3  0.987055
2 4  0.988131
2 5  0.988099
2 8  0.981158
2 16  0.973905
2 32  0.949902
2 64  0.915937
2 128  0.84203
2 181  0.785463
2 256  0.73547
2 512  0.55914
2 1024  0.355458
3 3  0.986517
3 4  0.988223
3 5  0.982136
3 8  0.975708
3 16  0.961056
3 32  0.935143
3 64  0.894737
3 128  0.824439
3 181  0.766214
3 256  0.700846
3 512  0.526039
3 1024  0.337275
4 3  1
4 4  0.981422
4 5  0.979761
4 8  0.972921
4 16  0.954694
4 32  0.932504
4 64  0.890899
4 128  0.806982
4 181  0.747706
4 256  0.692906
4 512  0.531941
4 1024  0.341976
5 3  0.987179
5 4  0.979515
5 5  0.979918
5 8  0.968145
5 16  0.954
5 32  0.916176
5 64  0.863069
5 128  0.771165
5 181  0.70632
5 256  0.636326
5 512  0.488979
5 1024  0.315716
6 3  0.97561
6 4  0.974087
6 5  0.978278
6 8  0.965379
6 16  0.941351
6 32  0.897692
6 64  0.829026
6 128  0.729508
6 181  0.663167
6 256  0.577203
6 512  0.402594
6 1024  0.24653
