126 0.234229 0.455745 2.88767 0.176211 0.350611 0.702664 0.0691665 0.194234 0.340733 0.0706086 0.185227 0.722445 0.0140881 0.058469 0.15583 0.00769305 0.0386171 0.0882873 0.0001 0.0655251 0.170368 0.0001 0.0370527 0.0930238
64 0.247552 0.454646 3.00918 0.1753 0.353053 0.74207 0.0760043 0.182005 0.313672 0.0626758 0.156547 0.760189 0.0431313 0.0926306 0.156249 0.0235577 0.0521081 0.0926721 0.0001 0.105399 0.181199 0.0001 0.0585058 0.100623
14 0.183926 0.461018 3.12118 0.149589 0.329324 0.780994 0.065914 0.193103 0.358212 0.0723074 0.214438 0.68739 0.0529549 0.125181 0.229878 0.0537693 0.119635 0.351423 0.155405 0.439962 1.03768 0.093046 0.24131 0.600122
13 0.255811 0.45961 2.85676 0.162322 0.343912 0.72885 0.0838512 0.19348 0.417887 0.0656181 0.158324 0.612073 0.0355078 0.094548 0.213515 0.0390978 0.112857 0.407828 0.103728 0.296703 1.17635 0.0613063 0.17022 0.65761
12 0.218966 0.448508 2.80983 0.177663 0.353359 0.70675 0.119976 0.202921 0.367283 0.0871518 0.249588 0.903523 0.0372988 0.100529 0.212292 0.0371632 0.134894 0.466361 0.14934 0.376519 1.3209 0.0850477 0.224086 0.727672
11 0.215192 0.47143 2.62719 0.17905 0.337116 0.673456 0.087795 0.196999 0.369186 0.0579782 0.124809 0.471457 0.0560545 0.136041 0.253031 0.0485228 0.147717 0.859417 0.152697 0.448597 1.61739 0.0883616 0.262176 0.855429
10 0.2000615 0.4504805 2.96614 0.1616115 0.3303035 0.751676 0.08557685 0.1921855 0.3156955 0.08015125 0.156108 0.406036 0.06204835 0.1476905 0.295751 0.06830065 0.210051 1.18573 0.2678425 0.6529015 2.29022 0.160449 0.3806545 1.25941
9 0.224978 0.449591 2.9101 0.172146 0.3352355 0.7466625 0.09459685 0.2062275 0.333704 0.0510125 0.121064 0.2821985 0.0575553 0.142591 0.2733625 0.0761665 0.2098825 1.4967 0.2922925 0.710254 2.520335 0.1718265 0.420252 1.420695
8 0.192880333 0.477458667 2.686723333 0.1556 0.341735 0.773896333 0.0853923 0.224362 0.389977 0.052070633 0.150293 0.521241333 0.059981433 0.143378 0.319679667 0.123389367 0.356788333 2.00845 0.416624667 0.913638667 3.185793333 0.248809333 0.527777333 1.803643333
7 0.21789375 0.485076 2.5914425 0.16161 0.3375285 0.78966225 0.087441425 0.188751 0.3734885 0.072458325 0.18324875 0.80190675 0.0659235 0.14730975 0.29092875 0.3377745 0.7766675 4.11957 0.496098 1.2416175 5.51333 0.297227 0.7249455 3.1523975
6 0.229111625 0.4960835 2.67832 0.162358125 0.339166 0.883291875 0.096472275 0.19089475 0.451198375 0.286936 0.694035 4.45315875 0.06645545 0.152167 0.327702 0.983480625 1.79789625 5.9746 0.844208375 1.95364625 7.438355 0.498891125 1.17707 4.0282375
5 0.2119654 0.5007472 2.638771 0.1507801 0.3313178 0.9697007 0.08140665 0.2002063 0.5028434 0.4828254 1.2397963 5.755995 0.09338364 0.2577204 0.6568593 3.795691 7.230372 17.158423 1.479418 3.258547 10.939373 0.9270262 2.015862 8.429394
4 0.251125524 0.55734281 2.119410952 0.144199667 0.319375 1.19168981 0.361886 0.75831819 4.299269238 3.63713381 8.808560476 44.83708 0.790786857 1.54939 7.789414762 5.608364286 10.70898952 30.08260952 3.239619524 6.695138571 41.52464762 2.104447619 3.868265238 28.35247619
3 2.643697778 5.407629444 14.58423333 0.181221722 0.458997556 1.244537222 0.613258222 1.135844056 10.94892667 52.76163333 81.46998333 292.7139444 13.0814 27.10963333 79.89072222 13.34236111 30.30598889 48.07353333 13.0814 27.10963333 79.89072222 13.34236111 30.30598889 48.07353333
