energy;wepl;expected mean;mean;expected sigma;sigma (fwhm);sigma (fwtm);sigma (fwqm)
110.5; 0; 110.5; 109.549; 2.72888; 1.91083; 2.73224; 2.79279
111; 0; 111; 109.925; 2.71304; 1.78344; 2.12508; 2.61261
111.5; 0; 111.5; 110.029; 2.70741; 1.40127; 1.92269; 2.7027
112; 0; 112; 110.656; 2.72577; 1.52866; 2.12508; 2.88288
112.5; 0; 112.5; 111.963; 2.74411; 1.65605; 2.32746; 2.52252
113; 0; 113; 112.377; 2.76247; 1.91083; 2.63105; 2.61261
113.5; 0; 113.5; 112.511; 2.78082; 1.91083; 2.73224; 2.79279
114; 0; 114; 112.847; 2.79918; 1.40127; 1.92269; 2.7027
114.5; 0; 114.5; 113.346; 2.81752; 1.52866; 2.22627; 2.79279
115; 0; 115; 114.41; 2.83588; 1.52866; 2.42866; 2.34234
100; 1; 76.03; 73.8449; 3.41897; 1.93206; 3.18761; 3.04805
100.5; 1; 76.7313; 73.7539; 3.44675; 2.52654; 3.65985; 3.46847
101; 1; 77.4325; 74.5495; 3.47453; 2.52654; 3.89597; 3.78378
101.5; 1; 78.1339; 76.567; 3.50251; 1.78344; 3.06955; 3.04805
102; 1; 78.8352; 77.3135; 3.53068; 2.52654; 3.30567; 3.36336
102.5; 1; 79.5366; 77.6058; 3.55887; 2.37792; 3.54179; 3.36336
103; 1; 80.238; 77.9376; 3.58704; 2.2293; 3.54179; 3.57357
103.5; 1; 80.9394; 78.1234; 3.61523; 2.2293; 3.77791; 3.67868
104; 1; 81.6408; 79.3757; 3.6434; 1.93206; 3.06955; 3.99399
104.5; 1; 82.3423; 81.1746; 3.67159; 2.52654; 3.42373; 3.36336
105; 1; 83.0438; 81.5614; 3.69976; 2.82378; 3.65985; 3.67868
105.5; 1; 83.7453; 81.8411; 3.72797; 2.67516; 3.77791; 3.88889
106; 1; 84.4468; 82.1498; 3.75616; 2.52654; 3.89597; 3.78378
106.5; 1; 85.1484; 82.8393; 3.78436; 2.08068; 2.71537; 3.78378
107; 1; 85.85; 84.5992; 3.81254; 2.67516; 3.30567; 3.25826
107.5; 1; 86.5516; 85.6114; 3.84074; 2.52654; 3.65985; 3.57357
